id,symbol,current_price,market_cap,total_volume
bitcoin,btc,76983.0,1542025258667,40388969856
ethereum,eth,2135.01,257609536383,16917962836
tether,usdt,0.999178,189699359384,64519972026
binancecoin,bnb,643.94,86786420902,736723819
ripple,xrp,1.38,85586789491,1858429498
usd-coin,usdc,0.99978,76859959801,14954695235
solana,sol,85.25,49292137094,2728516250
tron,trx,0.356889,33831259371,582782223
figure-heloc,figr_heloc,1.036,18476067436,13176592
dogecoin,doge,0.104439,16111278596,1063240877
